name,lightcast_id,category,slug
Technical Program Management,,Program Management,technical-program-management
Program Management,,Program Management,program-management
Cross-Functional Program Management,,Program Management,cross-functional-program-management
Multi-Team Program Coordination,,Program Management,multi-team-program-coordination
Program Execution,,Program Management,program-execution
Program Governance,,Program Management,program-governance
Program Charter Development,,Program Management,program-charter-development
Program Risk Management,,Program Management,program-risk-management
Program Budget Management,,Program Management,program-budget-management
Program Scope Definition,,Program Management,program-scope-definition
Program Roadmap,,Program Management,program-roadmap
Program Lifecycle Management,,Program Management,program-lifecycle-management
Release Management,,Program Management,release-management
Stakeholder Management,,Program Management,stakeholder-management
Executive Stakeholder Communication,,Program Management,executive-stakeholder-communication
Cross-Functional Orchestration,,Program Management,cross-functional-orchestration
Steering Committee Facilitation,,Program Management,steering-committee-facilitation
Status Reporting,,Program Management,status-reporting
Capacity Planning,,Program Management,capacity-planning
Resource Planning,,Program Management,resource-planning
Risk Mitigation,,Program Management,risk-mitigation
Issue Management,,Program Management,issue-management
Change Control,,Program Management,change-control
Dependency Management,,Program Management,dependency-management
Critical Path Analysis,,Program Management,critical-path-analysis
Milestone Management,,Program Management,milestone-management
Project Management,,Project Management,project-management
Project Planning,,Project Management,project-planning
Project Execution,,Project Management,project-execution
Project Closeout,,Project Management,project-closeout
PMP Certification,,Project Management,pmp-certification
PRINCE2,,Project Management,prince2
Agile Project Management,,Project Management,agile-project-management
Scrum Master,,Project Management,scrum-master
Kanban,,Project Management,kanban
SAFe Agile,,Project Management,safe-agile
Waterfall Methodology,,Project Management,waterfall-methodology
Hybrid Project Methodology,,Project Management,hybrid-project-methodology
Agile,,Methodology,agile
Scrum,,Methodology,scrum
Lean,,Methodology,lean
Six Sigma,,Methodology,six-sigma
Design Thinking,,Methodology,design-thinking
Test-Driven Development,,Methodology,test-driven-development
Continuous Integration,,Methodology,continuous-integration
Continuous Delivery,,Methodology,continuous-delivery
DevOps,,Methodology,devops
GitOps,,Methodology,gitops
OKRs,,Methodology,okrs
KPI Definition,,Methodology,kpi-definition
Balanced Scorecard,,Methodology,balanced-scorecard
PDCA Cycle,,Methodology,pdca-cycle
Root Cause Analysis,,Methodology,root-cause-analysis
Cross-Functional Leadership,,Leadership,cross-functional-leadership
Engineering Leadership,,Leadership,engineering-leadership
Technical Leadership,,Leadership,technical-leadership
Servant Leadership,,Leadership,servant-leadership
People Management,,Leadership,people-management
Mentoring,,Leadership,mentoring
Coaching,,Leadership,coaching
Conflict Resolution,,Leadership,conflict-resolution
Decision Making,,Leadership,decision-making
Strategic Planning,,Leadership,strategic-planning
Organizational Design,,Leadership,organizational-design
Team Building,,Leadership,team-building
Hiring and Recruiting,,Leadership,hiring-and-recruiting
Performance Management,,Leadership,performance-management
1:1 Coaching,,Leadership,one-on-one-coaching
Influencing Without Authority,,Leadership,influencing-without-authority
Executive Presence,,Leadership,executive-presence
C-Suite Communication,,Leadership,c-suite-communication
Board Presentation,,Leadership,board-presentation
Vendor Management,,Leadership,vendor-management
Contract Negotiation,,Leadership,contract-negotiation
Master Service Agreement,,Leadership,master-service-agreement
SOW Authoring,,Leadership,sow-authoring
PRD Authoring,,Documentation,prd-authoring
Product Requirements Document,,Documentation,product-requirements-document
Statement of Work,,Documentation,statement-of-work
Technical Specification,,Documentation,technical-specification
Architecture Decision Records,,Documentation,architecture-decision-records
Runbook Authoring,,Documentation,runbook-authoring
Confluence,,Documentation,confluence
Notion,,Documentation,notion
Wiki Documentation,,Documentation,wiki-documentation
RF Engineering,,Wireless,rf-engineering
RF Site Planning,,Wireless,rf-site-planning
RF Propagation Analysis,,Wireless,rf-propagation-analysis
Wi-Fi,,Wireless,wifi
Wi-Fi 6,,Wireless,wifi-6
Wi-Fi 6E,,Wireless,wifi-6e
Wi-Fi 7,,Wireless,wifi-7
Bluetooth,,Wireless,bluetooth
Bluetooth Low Energy,,Wireless,bluetooth-low-energy
Z-Wave,,Wireless,z-wave
Zigbee,,Wireless,zigbee
LoRaWAN,,Wireless,lorawan
Cellular IoT,,Wireless,cellular-iot
LTE,,Wireless,lte
LTE-M,,Wireless,lte-m
NB-IoT,,Wireless,nb-iot
4G,,Wireless,4g
5G,,Wireless,5g
mmWave,,Wireless,mmwave
Wireless Site Survey,,Wireless,wireless-site-survey
Spectrum Analysis,,Wireless,spectrum-analysis
Antenna Design,,Wireless,antenna-design
Antenna Tuning,,Wireless,antenna-tuning
Radio Resource Management,,Wireless,radio-resource-management
Wireless Network Design,,Wireless,wireless-network-design
Wireless ISP Operations,,Wireless,wireless-isp-operations
Tower Site Management,,Wireless,tower-site-management
Microwave Backhaul,,Wireless,microwave-backhaul
Point-to-Point Wireless,,Wireless,point-to-point-wireless
Point-to-Multipoint,,Wireless,point-to-multipoint
WISP,,Wireless,wisp
Spectrum Licensing,,Wireless,spectrum-licensing
FCC Compliance,,Wireless,fcc-compliance
EMC Compliance,,Wireless,emc-compliance
SDR,,Wireless,software-defined-radio
Software Defined Radio,,Wireless,software-defined-radio-2
IoT,,IoT,iot
Internet of Things,,IoT,internet-of-things
Industrial IoT,,IoT,industrial-iot
IIoT,,IoT,iiot
IoT Architecture,,IoT,iot-architecture
IoT Deployment,,IoT,iot-deployment
IoT Solutions Design,,IoT,iot-solutions-design
IoT Security,,IoT,iot-security
IoT Device Provisioning,,IoT,iot-device-provisioning
Edge Computing,,IoT,edge-computing
Edge Devices,,IoT,edge-devices
Edge Analytics,,IoT,edge-analytics
Industrial Sensors,,IoT,industrial-sensors
Vibration Monitoring,,IoT,vibration-monitoring
Predictive Maintenance,,IoT,predictive-maintenance
Asset Tracking,,IoT,asset-tracking
Smart Building,,IoT,smart-building
Home Automation,,IoT,home-automation
Smart Home Safety Systems,,IoT,smart-home-safety-systems
Connected Devices,,IoT,connected-devices
MQTT,,IoT,mqtt
CoAP,,IoT,coap
LwM2M,,IoT,lwm2m
OTA Firmware Updates,,IoT,ota-firmware-updates
Device Management,,IoT,device-management
Sensor Networks,,IoT,sensor-networks
LPWAN,,IoT,lpwan
Embedded Systems,,Embedded,embedded-systems
Embedded Firmware,,Embedded,embedded-firmware
Firmware Engineering,,Embedded,firmware-engineering
Real-Time Operating Systems,,Embedded,real-time-operating-systems
RTOS,,Embedded,rtos
FreeRTOS,,Embedded,freertos
Bare-Metal Programming,,Embedded,bare-metal-programming
Microcontroller Programming,,Embedded,microcontroller-programming
ARM Cortex,,Embedded,arm-cortex
ESP32,,Embedded,esp32
Nordic nRF,,Embedded,nordic-nrf
Manufacturing Test,,Embedded,manufacturing-test
Test Fixture Design,,Embedded,test-fixture-design
Production Test Engineering,,Embedded,production-test-engineering
Hardware-Software Integration,,Embedded,hardware-software-integration
B2B SaaS,,SaaS,b2b-saas
Enterprise SaaS,,SaaS,enterprise-saas
SaaS Platform Development,,SaaS,saas-platform-development
